room_id,hotel_id,room_type_id,room_number,floor,status,notes
131,2,5,320,3,available,
132,2,7,501,5,available,
133,2,4,602,6,available,
134,2,6,403,4,available,
135,2,5,404,4,available,
136,2,6,305,3,available,
137,2,6,606,6,cleaning,
138,2,4,307,3,available,
139,2,4,208,2,cleaning,
140,2,5,209,2,available,
141,2,5,310,3,occupied,
142,2,4,611,6,available,
143,2,5,612,6,available,
144,2,4,213,2,available,
145,2,6,614,6,blocked,Blocked due to a security issue
146,2,6,415,4,cleaning,
147,2,6,416,4,available,
148,2,7,317,3,occupied,
149,2,7,518,5,available,
150,2,6,519,5,available,
151,2,6,320,3,occupied,
152,2,7,101,1,available,
153,2,6,602,6,available,
154,3,10,301,3,available,
155,3,10,702,7,available,
156,3,8,703,7,cleaning,
157,3,10,404,4,occupied,
158,3,10,205,2,occupied,
159,3,10,406,4,blocked,Reserved for internal use
160,3,9,407,4,available,
161,3,8,508,5,occupied,
162,3,10,709,7,available,
163,3,10,610,6,available,
164,3,10,611,6,maintenance,Pending plumbing inspection
165,3,10,312,3,cleaning,
166,3,10,513,5,available,
167,3,8,414,4,available,
168,3,9,615,6,maintenance,Bathroom renovation in progress
169,3,10,316,3,occupied,
170,3,8,317,3,available,
171,3,9,418,4,maintenance,Pending plumbing inspection
172,3,9,319,3,available,
173,3,9,720,7,available,
174,3,8,701,7,available,
175,3,10,502,5,available,
176,3,8,503,5,available,
177,3,10,404,4,available,
178,3,9,105,1,cleaning,
179,3,8,206,2,blocked,Reserved for internal use
180,3,9,507,5,cleaning,
181,3,9,208,2,available,
182,3,10,209,2,maintenance,Painting in progress
183,3,9,610,6,blocked,Reserved for internal use
184,3,10,111,1,available,
185,3,9,212,2,occupied,
186,3,8,513,5,occupied,
187,3,9,714,7,occupied,
188,3,8,215,2,available,
189,3,10,416,4,available,
190,3,9,417,4,available,
191,3,10,218,2,occupied,
192,3,8,319,3,occupied,
193,3,10,220,2,available,
194,3,8,601,6,occupied,
195,3,8,602,6,cleaning,
196,3,9,203,2,available,
197,3,10,504,5,available,
198,3,8,705,7,available,
199,3,9,406,4,occupied,
200,3,10,507,5,available,
201,3,10,208,2,available,
202,3,9,309,3,occupied,
203,3,8,710,7,available,
204,3,8,211,2,occupied,
205,3,8,212,2,occupied,
206,3,10,513,5,available,
207,3,9,614,6,occupied,
208,3,8,415,4,cleaning,
209,3,9,716,7,available,
210,3,8,517,5,blocked,Blocked due to a security issue
211,3,8,618,6,cleaning,
212,3,8,619,6,available,
213,3,9,420,4,available,
214,3,9,401,4,occupied,
215,3,8,602,6,occupied,
216,3,8,303,3,available,
217,3,8,604,6,available,
218,3,10,505,5,occupied,
219,3,9,706,7,cleaning,
220,3,10,607,6,available,
221,3,9,108,1,maintenance,Painting in progress
222,3,8,509,5,available,
223,3,9,710,7,available,
224,3,8,311,3,occupied,
225,3,9,212,2,available,
226,3,9,213,2,occupied,
227,3,9,314,3,available,
228,3,8,615,6,available,
229,3,8,716,7,available,
230,3,9,217,2,cleaning,
231,3,10,118,1,occupied,
232,3,8,319,3,available,
233,3,9,320,3,available,
234,3,8,101,1,maintenance,Air conditioning fault
235,3,9,302,3,maintenance,Pending plumbing inspection
236,3,9,603,6,available,
237,3,8,104,1,cleaning,
238,3,10,605,6,available,
239,3,9,406,4,blocked,Reserved for internal use
240,3,10,107,1,available,
241,3,9,208,2,available,
242,3,9,409,4,available,
243,3,9,610,6,cleaning,
244,3,9,611,6,cleaning,
245,4,11,201,2,available,
246,4,12,502,5,occupied,
247,4,11,503,5,available,
248,4,12,504,5,available,
249,4,11,405,4,cleaning,
250,4,11,406,4,available,
251,4,11,307,3,occupied,
252,4,11,508,5,occupied,
253,4,11,309,3,available,
254,4,11,410,4,occupied,
255,4,11,411,4,available,
256,4,12,212,2,cleaning,
257,4,11,113,1,available,
258,4,11,514,5,cleaning,
259,4,12,215,2,available,
260,4,12,316,3,available,
261,4,12,117,1,available,
262,4,12,418,4,maintenance,Air conditioning fault
263,4,12,419,4,maintenance,Painting in progress
264,4,11,420,4,available,
265,4,11,401,4,occupied,
266,4,11,102,1,available,
267,4,11,503,5,available,
268,4,11,504,5,blocked,Blocked due to a security issue
269,4,12,505,5,available,
270,4,12,306,3,available,
271,4,11,207,2,cleaning,
272,4,12,508,5,occupied,
273,4,12,309,3,occupied,
274,4,11,110,1,occupied,
275,4,11,111,1,available,
276,4,12,512,5,available,
277,4,11,113,1,cleaning,
278,4,12,214,2,maintenance,Painting in progress
279,4,11,315,3,available,
280,4,11,116,1,cleaning,
281,4,12,217,2,available,
282,4,11,318,3,available,
283,4,12,119,1,cleaning,
284,4,11,420,4,available,
285,4,11,401,4,available,
286,4,11,502,5,cleaning,
287,4,12,503,5,maintenance,Bathroom renovation in progress
288,4,11,204,2,available,
289,4,12,505,5,cleaning,
290,4,12,506,5,cleaning,
291,4,11,307,3,available,
292,4,12,308,3,available,
293,4,11,209,2,available,
294,4,12,510,5,cleaning,
295,4,11,211,2,available,
296,4,12,312,3,cleaning,
297,4,11,213,2,available,
298,4,12,114,1,occupied,
299,4,12,515,5,available,
300,4,12,516,5,available,
301,4,12,117,1,available,
302,4,11,418,4,available,
303,4,11,219,2,available,
304,4,11,320,3,occupied,
305,4,11,101,1,occupied,
306,4,12,202,2,occupied,
307,4,11,303,3,maintenance,Air conditioning fault
308,4,11,504,5,available,
309,4,12,105,1,cleaning,
310,4,12,406,4,blocked,Blocked due to a security issue
311,4,12,507,5,available,
312,4,12,208,2,available,
313,4,12,209,2,cleaning,
314,5,15,301,3,occupied,
315,5,13,302,3,blocked,Reserved for internal use
316,5,14,103,1,blocked,Blocked by management
317,5,13,104,1,occupied,
318,5,13,205,2,available,
319,5,14,306,3,available,
320,5,13,307,3,cleaning,
321,5,13,208,2,available,
322,5,13,109,1,available,
323,5,14,310,3,available,
324,5,15,311,3,cleaning,
325,5,14,212,2,maintenance,Pending plumbing inspection
326,5,13,313,3,available,
327,5,13,114,1,available,
328,5,15,115,1,available,
329,5,15,216,2,available,
330,5,13,117,1,occupied,
331,5,14,218,2,available,
332,5,15,319,3,available,
333,5,15,320,3,available,
334,5,15,201,2,available,
335,5,15,302,3,cleaning,
336,5,13,103,1,occupied,
337,5,14,204,2,cleaning,
338,5,13,205,2,available,
339,5,15,206,2,available,
340,5,15,207,2,available,
341,5,15,208,2,available,
342,5,14,309,3,available,
343,5,15,110,1,cleaning,
344,5,13,311,3,available,
345,5,15,112,1,available,
346,5,15,113,1,cleaning,
347,5,14,114,1,available,
348,5,15,315,3,maintenance,Air conditioning fault
349,5,15,316,3,available,
350,5,14,317,3,available,
351,5,13,118,1,available,
352,5,14,319,3,available,
353,5,13,220,2,available,
354,5,14,301,3,available,
355,5,14,102,1,available,
356,5,13,303,3,available,
357,5,15,304,3,available,
358,5,15,305,3,available,
359,5,13,206,2,cleaning,
360,5,13,207,2,maintenance,Pending plumbing inspection
361,5,15,108,1,available,
362,5,14,209,2,available,
363,5,15,110,1,available,
364,5,15,111,1,available,
365,5,14,312,3,available,
366,5,15,113,1,available,
367,5,15,314,3,available,
368,5,13,315,3,cleaning,
369,5,13,116,1,available,
370,5,15,317,3,available,
371,5,15,118,1,available,
372,5,15,319,3,cleaning,
373,5,14,120,1,available,
374,5,15,301,3,available,
375,5,13,102,1,available,
376,5,14,103,1,available,
377,5,15,304,3,cleaning,
378,5,15,205,2,available,
379,5,13,206,2,occupied,
380,5,14,107,1,available,
381,5,15,208,2,blocked,Reserved for internal use
382,5,13,309,3,occupied,
383,5,13,210,2,available,
384,5,13,211,2,available,
385,5,14,312,3,occupied,
386,5,15,313,3,available,
387,5,15,214,2,maintenance,Painting in progress
388,6,16,601,6,occupied,
389,6,17,302,3,cleaning,
390,6,16,603,6,occupied,
391,6,17,404,4,available,
392,6,17,405,4,available,
393,6,16,606,6,available,
394,6,17,207,2,cleaning,
395,6,16,308,3,occupied,
396,6,16,609,6,available,
397,6,16,510,5,available,
398,6,17,511,5,available,
399,6,16,512,5,available,
400,6,17,613,6,maintenance,Pending plumbing inspection
401,6,17,214,2,cleaning,
402,6,17,215,2,available,
403,6,16,416,4,available,
404,6,16,617,6,available,
405,6,16,518,5,available,
406,6,16,219,2,available,
407,6,16,620,6,occupied,
408,6,17,101,1,available,
409,6,17,202,2,available,
410,6,17,203,2,available,
411,6,16,504,5,cleaning,
412,6,17,405,4,available,
413,6,17,106,1,available,
414,6,17,107,1,occupied,
415,6,17,608,6,available,
416,6,16,409,4,occupied,
417,6,17,510,5,occupied,
418,6,16,511,5,available,
419,6,16,512,5,available,
420,6,17,413,4,maintenance,Air conditioning fault
421,6,16,414,4,available,
422,6,16,515,5,available,
423,6,16,216,2,available,
424,6,17,517,5,occupied,
425,6,16,618,6,available,
426,6,17,619,6,available,
427,6,17,420,4,available,
428,6,16,601,6,cleaning,
429,6,16,202,2,available,
430,6,16,203,2,available,
431,6,16,504,5,available,
432,6,16,305,3,cleaning,
433,6,17,506,5,blocked,Blocked due to a security issue
434,6,16,607,6,occupied,
435,6,17,108,1,available,
436,6,17,409,4,available,
437,6,17,510,5,available,
438,6,16,511,5,occupied,
439,6,17,212,2,occupied,
440,6,17,413,4,available,
441,6,16,214,2,available,
442,6,16,115,1,available,
443,6,17,216,2,available,
444,6,16,417,4,cleaning,
445,6,16,518,5,available,
446,6,16,119,1,available,
447,6,16,520,5,available,
448,6,16,601,6,available,
449,6,17,302,3,cleaning,
450,6,17,203,2,cleaning,
451,6,17,404,4,available,
452,6,16,405,4,available,
453,6,17,206,2,cleaning,
454,6,16,307,3,available,
455,6,17,308,3,available,
456,6,16,509,5,available,
457,6,16,410,4,occupied,
458,6,17,411,4,available,
459,6,16,412,4,occupied,
460,6,17,313,3,cleaning,
461,6,17,514,5,available,
462,6,17,615,6,available,
463,6,16,416,4,available,
464,6,17,217,2,available,
465,6,17,318,3,blocked,Blocked due to a security issue
466,6,17,619,6,available,
467,6,16,620,6,available,
468,6,16,401,4,maintenance,Bathroom renovation in progress
469,6,16,202,2,available,
470,6,17,503,5,available,
471,6,16,204,2,available,
472,6,16,105,1,maintenance,Painting in progress
473,6,17,106,1,available,
474,7,18,401,4,cleaning,
475,7,21,502,5,occupied,
476,7,20,503,5,available,
477,7,19,404,4,available,
478,7,19,505,5,available,
479,7,18,506,5,available,
480,7,19,507,5,available,
481,7,18,308,3,available,
482,7,18,209,2,available,
483,7,20,410,4,available,
484,7,21,411,4,available,
485,7,18,112,1,cleaning,
486,7,20,513,5,cleaning,
487,7,20,314,3,blocked,Reserved for internal use
488,7,19,515,5,blocked,Reserved for internal use
489,7,21,516,5,available,
490,7,19,417,4,available,
491,7,18,518,5,available,
492,7,18,519,5,blocked,Blocked due to a security issue
493,7,20,420,4,blocked,Blocked due to a security issue
494,7,21,201,2,occupied,
495,7,21,402,4,cleaning,
496,7,18,403,4,available,
497,7,18,404,4,available,
498,7,19,205,2,maintenance,Painting in progress
499,7,20,506,5,available,
500,7,20,207,2,available,
501,7,21,308,3,available,
502,7,19,409,4,available,
503,7,19,510,5,available,
504,7,19,411,4,occupied,
505,7,19,212,2,cleaning,
506,7,19,213,2,available,
507,7,19,514,5,available,
508,7,18,115,1,cleaning,
509,7,21,516,5,available,
510,7,18,417,4,available,
511,7,20,418,4,cleaning,
512,7,20,419,4,available,
513,7,20,420,4,available,
514,7,19,101,1,available,
515,7,21,402,4,cleaning,
516,7,18,503,5,available,
517,7,19,404,4,blocked,Blocked due to a security issue
518,7,21,305,3,occupied,
519,7,18,206,2,available,
520,7,18,307,3,available,
521,7,20,208,2,available,
522,7,19,309,3,available,
523,7,20,310,3,available,
524,7,21,211,2,available,
525,7,20,312,3,cleaning,
526,7,20,413,4,available,
527,7,19,514,5,occupied,
528,7,18,315,3,maintenance,Painting in progress
529,7,21,216,2,available,
530,7,19,417,4,maintenance,Bathroom renovation in progress
531,7,21,418,4,available,
532,7,20,419,4,available,
533,7,18,420,4,available,
534,7,19,101,1,available,
535,7,20,402,4,cleaning,
536,7,18,403,4,occupied,
537,7,20,304,3,available,
538,7,20,305,3,available,
539,7,18,306,3,cleaning,
540,8,23,301,3,available,
541,8,25,402,4,cleaning,
542,8,25,503,5,available,
543,8,23,204,2,available,
544,8,24,405,4,available,
545,8,25,106,1,available,
546,8,24,207,2,available,
547,8,24,308,3,available,
548,8,25,309,3,cleaning,
549,8,24,510,5,available,
550,8,25,411,4,available,
551,8,22,212,2,occupied,
552,8,24,113,1,available,
553,8,25,114,1,available,
554,8,25,515,5,available,
555,8,25,516,5,occupied,
556,8,22,117,1,available,
557,8,23,118,1,occupied,
558,8,25,319,3,available,
559,8,24,420,4,available,
560,8,23,501,5,cleaning,
561,8,22,102,1,occupied,
562,8,24,403,4,available,
563,8,24,504,5,available,
564,8,23,505,5,available,
565,8,25,506,5,available,
566,8,24,307,3,available,
567,8,23,108,1,available,
568,8,24,409,4,available,
569,8,24,110,1,available,
570,8,23,311,3,available,
571,8,22,412,4,cleaning,
572,8,25,313,3,available,
573,8,25,314,3,available,
574,8,22,515,5,available,
575,8,25,516,5,available,
576,8,23,217,2,occupied,
577,8,25,418,4,available,
578,8,22,419,4,available,
579,8,24,320,3,available,
580,8,24,401,4,available,
581,8,22,202,2,available,
582,8,22,403,4,available,
583,8,24,504,5,available,
584,8,24,105,1,available,
585,8,22,206,2,blocked,Reserved for internal use
586,8,24,207,2,occupied,
587,8,22,208,2,available,
588,8,22,409,4,available,
589,8,25,310,3,maintenance,Painting in progress
590,8,24,411,4,occupied,
591,8,22,312,3,available,
592,8,23,113,1,available,
593,8,25,114,1,available,
594,8,23,215,2,cleaning,
595,8,24,416,4,maintenance,Air conditioning fault
596,8,23,417,4,maintenance,Painting in progress
597,8,23,118,1,available,
598,8,22,519,5,occupied,
599,8,23,420,4,available,
600,8,24,301,3,available,
601,8,22,502,5,available,
602,8,24,403,4,available,
603,8,23,304,3,cleaning,
604,8,23,105,1,available,
605,8,25,306,3,available,
606,8,24,507,5,available,
607,8,23,108,1,blocked,Blocked due to a security issue
608,8,25,509,5,available,
609,8,22,210,2,available,
610,8,22,511,5,available,
611,8,22,112,1,available,
612,8,23,513,5,maintenance,Bathroom renovation in progress
613,8,25,214,2,available,
614,8,24,415,4,occupied,
615,8,22,416,4,available,
616,8,23,317,3,cleaning,
617,8,25,418,4,available,
618,8,25,219,2,available,
619,8,24,320,3,occupied,
620,8,24,501,5,cleaning,
621,8,23,102,1,available,
622,8,25,303,3,maintenance,Pending plumbing inspection
623,8,25,104,1,maintenance,Painting in progress
624,8,23,105,1,available,
625,8,24,506,5,available,
626,8,22,507,5,maintenance,Bathroom renovation in progress
627,8,25,508,5,available,
628,8,24,309,3,available,
629,8,24,110,1,available,
630,9,26,201,2,cleaning,
631,9,26,102,1,available,
632,9,26,103,1,available,
633,9,27,404,4,available,
634,9,28,305,3,available,
635,9,26,106,1,available,
636,9,26,407,4,cleaning,
637,9,26,408,4,maintenance,Air conditioning fault
638,9,27,409,4,maintenance,Air conditioning fault
639,9,28,310,3,available,
640,9,28,111,1,cleaning,
641,9,26,212,2,blocked,Blocked by management
642,9,26,213,2,available,
643,9,26,214,2,available,
644,9,26,215,2,available,
645,9,28,416,4,occupied,
646,9,28,317,3,occupied,
647,9,28,418,4,cleaning,
648,9,26,219,2,available,
649,9,28,320,3,occupied,
650,9,28,401,4,cleaning,
651,9,27,302,3,cleaning,
652,9,27,403,4,maintenance,Pending plumbing inspection
653,9,28,204,2,available,
654,9,26,405,4,occupied,
655,9,28,306,3,available,
656,9,27,407,4,blocked,Blocked by management
657,9,28,108,1,blocked,Blocked due to a security issue
658,9,26,209,2,blocked,Reserved for internal use
659,9,26,310,3,blocked,Blocked by management
660,9,27,111,1,maintenance,Pending plumbing inspection
661,9,28,212,2,available,
662,9,27,313,3,available,
663,9,27,314,3,cleaning,
664,9,26,215,2,available,
665,9,27,116,1,available,
666,9,28,217,2,occupied,
667,9,28,318,3,maintenance,Bathroom renovation in progress
668,9,27,119,1,available,
669,9,27,120,1,occupied,
670,9,28,401,4,available,
671,9,26,302,3,available,
672,9,27,403,4,cleaning,
673,9,26,204,2,occupied,
674,9,28,105,1,available,
675,9,28,406,4,available,
676,9,28,107,1,available,
677,9,28,208,2,available,
678,9,28,209,2,available,
679,9,28,410,4,blocked,Blocked due to a security issue
680,9,28,111,1,available,
681,9,27,412,4,available,
682,9,27,113,1,available,
683,9,28,114,1,available,
684,9,27,115,1,available,
685,9,27,216,2,occupied,
686,9,27,217,2,available,
687,9,28,218,2,available,
688,9,28,219,2,available,
689,9,27,420,4,available,
690,9,28,101,1,available,
691,9,27,402,4,available,
692,9,26,303,3,available,
693,10,30,201,2,available,
694,10,32,102,1,available,
695,10,30,103,1,occupied,
696,10,30,104,1,available,
697,10,29,105,1,cleaning,
698,10,30,206,2,available,
699,10,29,207,2,available,
700,10,29,208,2,available,
701,10,33,109,1,available,
702,10,33,210,2,available,
703,10,33,111,1,occupied,
704,10,29,212,2,available,
705,10,33,113,1,available,
706,10,29,214,2,available,
707,10,33,215,2,available,
708,10,29,116,1,available,
709,10,31,217,2,cleaning,
710,10,29,218,2,cleaning,
711,10,32,119,1,blocked,Blocked due to a security issue
712,10,29,220,2,available,
713,10,33,101,1,available,
714,10,33,202,2,available,
715,10,29,103,1,available,
716,10,33,204,2,available,
717,10,32,105,1,available,
718,10,31,206,2,available,
719,10,30,207,2,maintenance,Pending plumbing inspection
720,10,32,108,1,cleaning,
721,10,31,109,1,available,
722,10,32,110,1,available,
723,10,32,111,1,available,
724,10,33,112,1,available,
725,10,31,213,2,available,
726,10,30,114,1,occupied,
727,10,33,115,1,cleaning,
728,10,31,116,1,available,
729,10,30,117,1,available,
730,10,33,118,1,available,
731,10,30,119,1,occupied,
732,10,32,220,2,available,
733,10,31,101,1,maintenance,Air conditioning fault
734,10,30,102,1,available,
735,10,33,203,2,available,
736,10,33,104,1,available,
737,10,30,105,1,available,
738,10,32,106,1,available,
739,10,33,207,2,occupied,
740,10,31,108,1,cleaning,
741,10,32,209,2,available,
742,10,30,110,1,available,
743,10,29,211,2,blocked,Blocked by management
744,11,37,401,4,occupied,
745,11,37,202,2,available,
746,11,34,403,4,occupied,
747,11,37,104,1,available,
748,11,37,405,4,maintenance,Air conditioning fault
749,11,35,406,4,blocked,Blocked by management
750,11,37,107,1,available,
751,11,37,408,4,cleaning,
752,11,36,409,4,available,
753,11,36,110,1,occupied,
754,11,35,411,4,maintenance,Painting in progress
755,11,34,112,1,available,
756,11,35,413,4,available,
757,11,37,114,1,available,
758,11,35,415,4,available,
759,11,36,216,2,occupied,
760,11,34,117,1,available,
761,11,37,318,3,available,
762,11,37,219,2,available,
763,11,37,120,1,occupied,
764,11,36,201,2,available,
765,11,35,202,2,occupied,
766,11,34,403,4,available,
767,11,37,304,3,available,
768,11,34,205,2,blocked,Blocked by management
769,11,36,106,1,available,
770,11,37,107,1,available,
771,11,37,208,2,available,
772,11,37,409,4,available,
773,11,34,110,1,available,
774,11,36,211,2,available,
775,11,35,112,1,occupied,
776,11,34,213,2,cleaning,
777,11,36,314,3,cleaning,
778,11,34,115,1,available,
779,11,35,216,2,occupied,
780,11,35,417,4,occupied,
781,11,36,118,1,available,
782,11,36,319,3,available,
783,11,37,120,1,occupied,
784,11,34,301,3,available,
785,11,34,302,3,available,
786,11,37,203,2,occupied,
787,11,34,104,1,available,
788,11,34,405,4,occupied,
789,11,36,406,4,available,
790,11,36,307,3,available,
791,11,36,208,2,available,
792,11,37,409,4,available,
793,11,35,210,2,occupied,
794,11,35,111,1,available,
795,11,37,112,1,occupied,
796,11,35,413,4,available,
797,11,36,314,3,available,
798,11,35,115,1,available,
799,11,36,316,3,maintenance,Pending plumbing inspection
800,11,36,317,3,occupied,
801,11,34,318,3,available,
802,11,34,219,2,available,
803,11,36,420,4,cleaning,
804,11,34,201,2,available,
805,11,37,302,3,available,
806,11,37,103,1,cleaning,
807,12,40,301,3,available,
808,12,39,302,3,occupied,
809,12,40,103,1,blocked,Reserved for internal use
810,12,38,204,2,blocked,Blocked due to a security issue
811,12,42,105,1,available,
812,12,41,106,1,available,
813,12,40,307,3,cleaning,
814,12,38,208,2,available,
815,12,41,109,1,available,
816,12,40,110,1,available,
817,12,39,111,1,available,
818,12,38,112,1,cleaning,
819,12,41,313,3,available,
820,12,41,314,3,available,
821,12,40,215,2,occupied,
822,12,42,216,2,maintenance,Bathroom renovation in progress
823,12,38,317,3,occupied,
824,12,39,118,1,occupied,
825,12,41,219,2,occupied,
826,12,42,120,1,available,
827,12,38,301,3,cleaning,
828,12,38,202,2,available,
829,12,38,103,1,available,
830,12,40,104,1,available,
831,12,40,305,3,cleaning,
832,12,40,106,1,available,
833,12,40,307,3,available,
834,12,41,308,3,available,
835,12,39,109,1,available,
836,12,38,310,3,available,
837,12,38,111,1,available,
838,12,42,212,2,available,
839,12,40,313,3,available,
840,12,38,214,2,available,
841,12,40,315,3,available,
842,12,39,116,1,available,
843,12,38,117,1,available,
844,12,38,218,2,available,
845,12,42,319,3,available,
846,12,41,320,3,available,
847,12,40,101,1,occupied,
848,12,42,102,1,blocked,Reserved for internal use
849,12,42,103,1,available,
850,12,41,104,1,available,
851,13,46,401,4,available,
852,13,44,202,2,cleaning,
853,13,45,303,3,available,
854,13,45,304,3,available,
855,13,43,105,1,available,
856,13,45,406,4,available,
857,13,44,307,3,occupied,
858,13,44,108,1,available,
859,13,43,309,3,available,
860,13,43,310,3,available,
861,13,46,411,4,available,
862,13,44,212,2,blocked,Reserved for internal use
863,13,43,313,3,available,
864,13,46,414,4,available,
865,13,45,215,2,available,
866,13,43,416,4,available,
867,13,46,317,3,available,
868,13,46,218,2,available,
869,13,46,119,1,available,
870,13,46,320,3,available,
871,13,43,101,1,available,
872,13,44,102,1,occupied,
873,13,44,403,4,available,
874,13,46,404,4,available,
875,13,45,305,3,available,
876,13,45,406,4,occupied,
877,13,45,107,1,available,
878,13,46,208,2,cleaning,
879,13,43,309,3,cleaning,
880,13,43,110,1,occupied,
881,13,45,111,1,cleaning,
882,13,43,212,2,available,
883,13,46,313,3,occupied,
884,13,46,414,4,available,
885,13,44,215,2,available,
886,13,44,416,4,cleaning,
887,13,45,417,4,available,
888,13,44,218,2,available,
889,13,43,219,2,occupied,
890,13,46,420,4,blocked,Blocked by management
891,13,43,201,2,available,
892,13,46,402,4,cleaning,
893,13,46,203,2,available,
894,13,46,404,4,available,
895,13,44,205,2,available,
896,13,43,406,4,cleaning,
897,13,44,307,3,available,
898,13,45,108,1,blocked,Blocked due to a security issue
899,13,46,309,3,available,
900,13,46,110,1,available,
901,13,45,411,4,available,
902,13,43,212,2,available,
903,13,43,313,3,available,
904,13,45,114,1,available,
905,13,46,315,3,available,
906,13,45,316,3,available,
907,13,45,317,3,available,
908,13,46,218,2,available,
909,13,45,119,1,available,
910,13,43,220,2,available,
911,13,45,301,3,available,
912,13,45,302,3,cleaning,
913,13,43,103,1,available,
914,13,44,404,4,available,
915,13,44,305,3,maintenance,Bathroom renovation in progress
916,13,46,206,2,maintenance,Air conditioning fault
917,13,45,107,1,blocked,Blocked due to a security issue
918,13,44,408,4,occupied,
919,13,46,409,4,available,
920,13,46,210,2,available,
921,13,45,111,1,available,
922,13,43,112,1,available,
923,13,46,413,4,available,
924,13,44,414,4,occupied,
925,13,46,415,4,available,
926,13,46,116,1,available,
927,13,46,417,4,occupied,
928,13,43,118,1,cleaning,
929,13,45,419,4,available,
930,13,45,320,3,available,
931,13,43,301,3,occupied,
932,13,46,402,4,maintenance,Bathroom renovation in progress
933,13,44,303,3,occupied,
934,13,44,304,3,available,
935,13,43,105,1,available,
936,13,43,106,1,occupied,
937,13,45,207,2,occupied,
938,13,45,208,2,available,
939,13,43,109,1,cleaning,
940,13,44,110,1,occupied,
941,13,43,111,1,cleaning,
