hotel_id,name,description,category,type,city,check_in_time,check_out_time,reception_24h,services,pet_friendly,accessible,rating,review_count,price_range
16,Boutique Hotel Old Mill,"Boutique Hotel Old Mill stands out among the accommodations in Barcelona, with a 3-star rating.

With an average rating of 4.0/5 based on 22 guest reviews, Boutique Hotel Old Mill is positioned as an upscale-priced option for exploring Barcelona.",3,aparthotel,Barcelona,14:00,11:00,True,swimming pool;parking;laundry service;gym;room service,False,True,4.0,22,upscale
17,Boutique Hotel Golden Tower,"Boutique Hotel Golden Tower stands out among the accommodations in Amsterdam, with a 1-star rating.

Its location in Amsterdam makes it easy to reach the main points of interest and shopping areas of the city, as well as the main transport links, making it a good base for both leisure and business trips.

Among its facilities are wifi, business center, bike rental, spa and event hall, designed to make guests' stay as pleasant as possible. The hotel's team pays special attention to the upkeep and cleanliness of all these common areas.

With an average rating of 4.0/5 based on 24 guest reviews, Boutique Hotel Golden Tower is positioned as a budget-priced option for exploring Amsterdam.",1,hotel,Amsterdam,14:00,11:00,True,wifi;business center;bike rental;spa;event hall,False,True,4.0,24,budget
18,Inn Lighthouse,"Inn Lighthouse is a 4-star boutique hotel located right in Portland, designed for those looking for a comfortable, well-equipped stay.

Its location in Portland makes it easy to reach the main points of interest and shopping areas of the city, as well as the main transport links, making it a good base for both leisure and business trips.

Under house policy, the property does not allow pets. It also features facilities adapted for guests with reduced mobility. The front desk is staffed 24 hours a day, so guests can check in or resolve any issue at any time.

With an average rating of 4.9/5 based on 82 guest reviews, Inn Lighthouse is positioned as an upscale-priced option for exploring Portland.",4,boutique,Portland,13:00,12:00,True,childcare;swimming pool;room service;restaurant;parking;wifi;garden,False,True,4.9,82,upscale
19,Lodge Riverside,"Lodge Riverside is a 4-star hotel located right in Milan, designed for those looking for a comfortable, well-equipped stay.

With an average rating of 4.6/5 based on 81 guest reviews, Lodge Riverside is positioned as a mid-range-priced option for exploring Milan.",4,hotel,Milan,16:00,12:00,True,spa;airport shuttle;garden,False,False,4.6,81,mid-range
20,Palace Four Winds,"Palace Four Winds is a 4-star hotel located right in Miami, designed for those looking for a comfortable, well-equipped stay.

Under house policy, the property does not allow pets. The front desk is staffed 24 hours a day, so guests can check in or resolve any issue at any time.

Its location in Miami makes it easy to reach the main points of interest and shopping areas of the city, as well as the main transport links, making it a good base for both leisure and business trips.

Among its facilities are terrace, spa, airport shuttle, sports courts, bike rental, heated pool, garden, gym, business center, laundry service and bar, designed to make guests' stay as pleasant as possible. The hotel's team pays special attention to the upkeep and cleanliness of all these common areas.

With an average rating of 3.8/5 based on 96 guest reviews, Palace Four Winds is positioned as an upscale-priced option for exploring Miami.",4,hotel,Miami,15:00,11:00,True,terrace;spa;airport shuttle;sports courts;bike rental;heated pool;garden;gym;business center;laundry service;bar,False,False,3.8,96,upscale
21,Hotel Sunset,"Located in Brussels, Hotel Sunset offers a 3-star stay geared toward a balance between comfort, service and price.

Its location in Brussels makes it easy to reach the main points of interest and shopping areas of the city, as well as the main transport links, making it a good base for both leisure and business trips.

Among its facilities are room service, airport shuttle, laundry service, bar, terrace, garden, spa and gym, designed to make guests' stay as pleasant as possible. The hotel's team pays special attention to the upkeep and cleanliness of all these common areas.

The property is pet friendly, so guests can travel with their pets. It also features facilities adapted for guests with reduced mobility. The front desk is staffed 24 hours a day, so guests can check in or resolve any issue at any time.

With an average rating of 4.0/5 based on 19 guest reviews, Hotel Sunset is positioned as a mid-range-priced option for exploring Brussels.",3,hotel,Brussels,15:00,12:00,True,room service;airport shuttle;laundry service;bar;terrace;garden;spa;gym,True,True,4.0,19,mid-range
22,Inn Mountain Rest,"Inn Mountain Rest stands out among the accommodations in Amsterdam, with a 4-star rating.

With an average rating of 4.7/5 based on 12 guest reviews, Inn Mountain Rest is positioned as a luxury-priced option for exploring Amsterdam.",4,hostel,Amsterdam,16:00,11:00,False,sports courts;airport shuttle;garden;parking;restaurant;wifi;heated pool;swimming pool;childcare,False,False,4.7,12,luxury
23,Grand Hotel Cedar Hill,"Grand Hotel Cedar Hill is a 1-star aparthotel located right in Barcelona, designed for travelers on a tight budget looking for the essentials.

With an average rating of 3.6/5 based on 101 guest reviews, Grand Hotel Cedar Hill is positioned as a budget-priced option for exploring Barcelona.",1,aparthotel,Barcelona,16:00,11:00,True,bar;spa;laundry service;wifi,False,True,3.6,101,budget
24,Boutique Hotel Central Park,"Boutique Hotel Central Park stands out among the accommodations in Barcelona, with a 2-star rating.

With an average rating of 3.4/5 based on 26 guest reviews, Boutique Hotel Central Park is positioned as a budget-priced option for exploring Barcelona.",2,rural,Barcelona,15:00,10:00,False,airport shuttle;wifi;swimming pool,False,True,3.4,26,budget
25,Hotel Palm Grove,"Hotel Palm Grove stands out among the accommodations in Amsterdam, with a 2-star rating.

Its location in Amsterdam makes it easy to reach the main points of interest and shopping areas of the city, as well as the main transport links, making it a good base for both leisure and business trips.

The property is pet friendly, so guests can travel with their pets. The front desk is staffed 24 hours a day, so guests can check in or resolve any issue at any time.

Among its facilities are childcare, wifi, gym, room service, business center and event hall, designed to make guests' stay as pleasant as possible. The hotel's team pays special attention to the upkeep and cleanliness of all these common areas.

With an average rating of 3.3/5 based on 106 guest reviews, Hotel Palm Grove is positioned as a budget-priced option for exploring Amsterdam.",2,hotel,Amsterdam,15:00,11:00,True,childcare;wifi;gym;room service;business center;event hall,True,False,3.3,106,budget
