dish_id,restaurant_id,name,description,category,price,currency,ingredients,allergens,dietary_tags,spicy_level,calories,available
11,1,Homemade custard (chef's special),"Homemade custard (chef's special) is a dessert dish, made mainly with beef, spinach, egg, pork, lemon and flour. Suitable for the following diets: lactose_free. No declared allergens. Spice level: 2/5.",dessert,9.26,EUR,beef;spinach;egg;pork;lemon;flour,,lactose_free,2,395,True
12,1,Hummus with crudités,"Hummus with crudités is a starter dish, made mainly with olive oil, tomato, white fish and chocolate. Contains allergens: shellfish and tree nuts.",starter,11.84,EUR,olive oil;tomato;white fish;chocolate,shellfish;tree nuts,,0,270,True
13,1,Beef carpaccio,"Beef carpaccio is a starter dish, made mainly with mushrooms and beef. No declared allergens. Spice level: 2/5.",starter,10.05,EUR,mushrooms;beef,,,2,213,True
14,1,Cream mille-feuille,"Cream mille-feuille is a dessert dish, made mainly with white fish, rice, onion and cream. Contains allergens: milk and egg. Spice level: 1/5.",dessert,6.04,EUR,white fish;rice;onion;cream,milk;egg,,1,444,True
15,1,Grilled sirloin steak (traditional),"Grilled sirloin steak (traditional) is a main dish, made mainly with tomato, milk, pork, bell pepper, cheese and onion. No declared allergens.",main,32.69,EUR,tomato;milk;pork;bell pepper;cheese;onion,,,0,674,True
16,1,Warm mixed salad (chef's special),"Warm mixed salad (chef's special) is a starter dish, made mainly with cheese, garlic, mushrooms and almond. No declared allergens. Spice level: 1/5.",starter,12.6,EUR,cheese;garlic;mushrooms;almond,,,1,210,True
17,1,Mineral water,"Mineral water is a drink dish, made mainly with basic amenities. Contains allergens: gluten.",drink,6.56,EUR,,gluten,,0,2,False
18,1,Spanish-style omelette,"Spanish-style omelette is a small plate dish, made mainly with sugar, seafood and mushrooms. No declared allergens. Spice level: 2/5.",small plate,7.16,EUR,sugar;seafood;mushrooms,,,2,212,True
19,1,Mineral water (traditional),"Mineral water (traditional) is a drink dish, made mainly with basic amenities. No declared allergens.",drink,5.96,EUR,,,,0,132,True
20,1,Soup of the day,"Soup of the day is a starter dish, made mainly with almond, spinach and egg. No declared allergens.",starter,14.92,EUR,almond;spinach;egg,,,0,280,True
21,1,Garden risotto,"Garden risotto is a main dish, made mainly with chicken, garlic, beef, almond and pork. No declared allergens. Spice level: 2/5.",main,28.36,EUR,chicken;garlic;beef;almond;pork,,,2,634,True
22,1,Chocolate lava cake,"Chocolate lava cake is a dessert dish, made mainly with onion, rice, tomato, paprika and milk. No declared allergens.",dessert,8.73,EUR,onion;rice;tomato;paprika;milk,,,0,342,True
23,1,Craft beer (traditional),"Craft beer (traditional) is a drink dish, made mainly with basic amenities. Contains allergens: lupin. Spice level: 3/5.",drink,5.07,EUR,,lupin,,3,63,True
24,1,Garden risotto (signature),"Garden risotto (signature) is a main dish, made mainly with garlic, beef and egg. Contains allergens: lupin and mustard.",main,15.33,EUR,garlic;beef;egg,lupin;mustard,,0,632,True
25,1,Cola (chef's special),"Cola (chef's special) is a drink dish, made mainly with basic amenities. No declared allergens.",drink,5.11,EUR,,,,0,122,False
26,1,Soup of the day (house style),"Soup of the day (house style) is a starter dish, made mainly with white fish, onion, milk, beef, seafood and olive oil. Suitable for the following diets: vegetarian. Contains allergens: sulphites, milk and shellfish. Spice level: 1/5.",starter,15.07,EUR,white fish;onion;milk;beef;seafood;olive oil,sulphites;milk;shellfish,vegetarian,1,298,True
27,2,Cream mille-feuille,"Cream mille-feuille is a dessert dish, made mainly with olive oil, chicken and onion. No declared allergens.",dessert,6.06,EUR,olive oil;chicken;onion,,,0,306,True
28,2,Artisan ice cream,"Artisan ice cream is a dessert dish, made mainly with cheese, olive oil, chicken, sugar and chocolate. Contains allergens: fish.",dessert,5.76,EUR,cheese;olive oil;chicken;sugar;chocolate,fish,,0,347,True
29,2,Charcuterie board,"Charcuterie board is a starter dish, made mainly with cream, sugar, pork, chicken, potato and white fish. Suitable for the following diets: lactose_free. No declared allergens.",starter,10.62,EUR,cream;sugar;pork;chicken;potato;white fish,,lactose_free,0,307,True
30,2,Beef carpaccio,"Beef carpaccio is a starter dish, made mainly with potato and paprika. Suitable for the following diets: lactose_free. No declared allergens. Spice level: 1/5.",starter,8.18,EUR,potato;paprika,,lactose_free,1,212,True
31,2,Craft beer,"Craft beer is a drink dish, made mainly with basic amenities. No declared allergens.",drink,3.04,EUR,,,,0,125,True
32,2,Confit cod,"Confit cod is a main dish, made mainly with cream, sugar, seafood, mushrooms and beef. Suitable for the following diets: vegan. No declared allergens. Spice level: 2/5.",main,16.47,EUR,cream;sugar;seafood;mushrooms;beef,,vegan,2,614,True
33,2,Seasonal fruit,"Seasonal fruit is a dessert dish, made mainly with olive oil, beef, paprika, flour and sugar. Suitable for the following diets: vegetarian. No declared allergens. Spice level: 1/5.",dessert,7.28,EUR,olive oil;beef;paprika;flour;sugar,,vegetarian,1,440,True
34,2,Fresh juice,"Fresh juice is a drink dish, made mainly with basic amenities. Suitable for the following diets: kosher. No declared allergens.",drink,3.73,EUR,,,kosher,0,98,True
35,2,Garlic shrimp,"Garlic shrimp is a small plate dish, made mainly with beef, paprika and seafood. No declared allergens.",small plate,6.39,EUR,beef;paprika;seafood,,,0,243,True
36,2,Confit cod (signature),"Confit cod (signature) is a main dish, made mainly with egg and milk. Contains allergens: peanuts and egg.",main,14.9,EUR,egg;milk,peanuts;egg,,0,595,True
37,2,Garlic shrimp (signature),"Garlic shrimp (signature) is a small plate dish, made mainly with pork, cream and garlic. No declared allergens.",small plate,3.97,EUR,pork;cream;garlic,,,0,212,True
38,2,Beef carpaccio (traditional),"Beef carpaccio (traditional) is a starter dish, made mainly with seafood, pork and flour. No declared allergens.",starter,7.09,EUR,seafood;pork;flour,,,0,284,False
39,2,Charcuterie board (traditional),"Charcuterie board (traditional) is a starter dish, made mainly with onion, cream and seafood. Contains allergens: milk, lupin and egg. Spice level: 3/5.",starter,8.82,EUR,onion;cream;seafood,milk;lupin;egg,,3,225,True
40,3,Garlic shrimp,"Garlic shrimp is a small plate dish, made mainly with bell pepper, egg, mushrooms and rice. Suitable for the following diets: lactose_free and halal. No declared allergens.",small plate,6.1,EUR,bell pepper;egg;mushrooms;rice,,lactose_free;halal,0,266,True
41,3,Mineral water,"Mineral water is a drink dish, made mainly with basic amenities. Contains allergens: tree nuts and soy.",drink,3.56,EUR,,tree nuts;soy,,0,155,True
42,3,Charcuterie board,"Charcuterie board is a starter dish, made mainly with almond and bell pepper. No declared allergens.",starter,11.37,EUR,almond;bell pepper,,,0,264,True
43,3,Charcuterie board (signature),"Charcuterie board (signature) is a starter dish, made mainly with bell pepper, cheese, paprika, tomato and milk. No declared allergens.",starter,8.48,EUR,bell pepper;cheese;paprika;tomato;milk,,,0,238,True
44,3,Hummus with crudités,"Hummus with crudités is a starter dish, made mainly with spinach, cream, chocolate and white fish. Suitable for the following diets: kosher and halal. No declared allergens. Spice level: 1/5.",starter,10.1,EUR,spinach;cream;chocolate;white fish,,kosher;halal,1,292,True
45,3,Oven-baked sea bass,"Oven-baked sea bass is a main dish, made mainly with chicken, paprika and parsley. No declared allergens.",main,7.74,EUR,chicken;paprika;parsley,,,0,526,False
46,3,Soup of the day,"Soup of the day is a starter dish, made mainly with tomato and bell pepper. No declared allergens.",starter,7.05,EUR,tomato;bell pepper,,,0,227,True
47,3,Charcuterie board (chef's special),"Charcuterie board (chef's special) is a starter dish, made mainly with cheese, cream, potato and chicken. No declared allergens. Spice level: 2/5.",starter,4.47,EUR,cheese;cream;potato;chicken,,,2,322,True
48,3,Garlic shrimp (chef's special),"Garlic shrimp (chef's special) is a small plate dish, made mainly with sugar, paprika and chicken. Contains allergens: tree nuts.",small plate,5.13,EUR,sugar;paprika;chicken,tree nuts,,0,208,True
49,3,Homemade custard,"Homemade custard is a dessert dish, made mainly with milk and egg. Suitable for the following diets: lactose_free. No declared allergens.",dessert,5.26,EUR,milk;egg,,lactose_free,0,299,True
50,3,Cheesecake,"Cheesecake is a dessert dish, made mainly with milk, onion, seafood, bell pepper, almond and parsley. Contains allergens: soy. Spice level: 2/5.",dessert,4.06,EUR,milk;onion;seafood;bell pepper;almond;parsley,soy,,2,229,True
51,3,Garlic shrimp (signature),"Garlic shrimp (signature) is a small plate dish, made mainly with parsley, sugar, spinach and white fish. Contains allergens: peanuts. Spice level: 1/5.",small plate,6.35,EUR,parsley;sugar;spinach;white fish,peanuts,,1,228,False
52,3,Hummus with crudités (chef's special),"Hummus with crudités (chef's special) is a starter dish, made mainly with spinach, chocolate and flour. No declared allergens.",starter,6.39,EUR,spinach;chocolate;flour,,,0,290,True
53,3,Grilled peppers,"Grilled peppers is a small plate dish, made mainly with onion and tomato. No declared allergens. Spice level: 1/5.",small plate,3.38,EUR,onion;tomato,,,1,152,True
54,3,Homemade custard (house style),"Homemade custard (house style) is a dessert dish, made mainly with olive oil, potato and sugar. No declared allergens.",dessert,8.71,EUR,olive oil;potato;sugar,,,0,356,True
55,3,Cheesecake (chef's special),"Cheesecake (chef's special) is a dessert dish, made mainly with potato and white fish. Contains allergens: milk, fish and sesame.",dessert,6.17,EUR,potato;white fish,milk;fish;sesame,,0,256,True
56,3,Chicken curry,"Chicken curry is a main dish, made mainly with flour, rice, garlic, spinach and tomato. No declared allergens.",main,15.76,EUR,flour;rice;garlic;spinach;tomato,,,0,853,True
57,3,Grilled peppers (chef's special),"Grilled peppers (chef's special) is a small plate dish, made mainly with potato, paprika, sugar and parsley. Suitable for the following diets: halal. Contains allergens: lupin.",small plate,3.18,EUR,potato;paprika;sugar;parsley,lupin,halal,0,158,True
58,3,Chocolate lava cake,"Chocolate lava cake is a dessert dish, made mainly with garlic, spinach, bell pepper, flour and pork. Contains allergens: shellfish, gluten and mustard.",dessert,6.51,EUR,garlic;spinach;bell pepper;flour;pork,shellfish;gluten;mustard,,0,286,True
59,4,Confit cod,"Confit cod is a main dish, made mainly with potato and pork. Contains allergens: lupin. Spice level: 1/5.",main,33.09,EUR,potato;pork,lupin,,1,584,True
60,4,Garlic shrimp,"Garlic shrimp is a small plate dish, made mainly with beef, parsley, tomato, onion and white fish. Contains allergens: soy.",small plate,9.93,EUR,beef;parsley;tomato;onion;white fish,soy,,0,226,True
61,4,Mineral water,"Mineral water is a drink dish, made mainly with basic amenities. No declared allergens. Spice level: 1/5.",drink,7.12,EUR,,,,1,30,True
62,4,Creamy seafood rice,"Creamy seafood rice is a main dish, made mainly with lemon, sugar, garlic, mushrooms and cream. No declared allergens.",main,17.95,EUR,lemon;sugar;garlic;mushrooms;cream,,,0,561,True
63,4,Fresh pasta with wild mushrooms,"Fresh pasta with wild mushrooms is a main dish, made mainly with onion and tomato. No declared allergens.",main,24.08,EUR,onion;tomato,,,0,771,True
64,4,Cheesecake,"Cheesecake is a dessert dish, made mainly with almond, cheese, chocolate, bell pepper and egg. No declared allergens.",dessert,6.67,EUR,almond;cheese;chocolate;bell pepper;egg,,,0,464,True
65,4,Confit cod (chef's special),"Confit cod (chef's special) is a main dish, made mainly with chicken and garlic. Contains allergens: milk. Spice level: 3/5.",main,28.67,EUR,chicken;garlic,milk,,3,693,False
66,4,Hummus with crudités,"Hummus with crudités is a starter dish, made mainly with onion, garlic and bell pepper. Contains allergens: gluten and soy. Spice level: 1/5.",starter,9.26,EUR,onion;garlic;bell pepper,gluten;soy,,1,252,True
67,4,Creamy seafood rice (traditional),"Creamy seafood rice (traditional) is a main dish, made mainly with rice, cream, chocolate, seafood, chicken and milk. No declared allergens. Spice level: 2/5.",main,28.16,EUR,rice;cream;chocolate;seafood;chicken;milk,,,2,602,True
68,4,Creamy seafood rice (chef's special),"Creamy seafood rice (chef's special) is a main dish, made mainly with cream, beef, garlic, rice, bell pepper and flour. Contains allergens: egg. Spice level: 2/5.",main,31.02,EUR,cream;beef;garlic;rice;bell pepper;flour,egg,,2,867,True
69,4,Artisan ice cream,"Artisan ice cream is a dessert dish, made mainly with tomato and cream. Suitable for the following diets: lactose_free and gluten_free. No declared allergens. Spice level: 2/5.",dessert,13.3,EUR,tomato;cream,,lactose_free;gluten_free,2,436,True
70,4,House burger,"House burger is a main dish, made mainly with milk, onion, chicken, rice and cheese. Contains allergens: celery, gluten and sesame.",main,26.05,EUR,milk;onion;chicken;rice;cheese,celery;gluten;sesame,,0,633,True
71,4,Grilled peppers,"Grilled peppers is a small plate dish, made mainly with rice, tomato, white fish, lemon, egg and parsley. No declared allergens. Spice level: 2/5.",small plate,8.28,EUR,rice;tomato;white fish;lemon;egg;parsley,,,2,222,False
72,4,Grilled peppers (signature),"Grilled peppers (signature) is a small plate dish, made mainly with egg, spinach, sugar, almond and flour. Contains allergens: tree nuts, sulphites and shellfish.",small plate,6.22,EUR,egg;spinach;sugar;almond;flour,tree nuts;sulphites;shellfish,,0,184,False
73,4,House wine (glass),"House wine (glass) is a drink dish, made mainly with basic amenities. Contains allergens: gluten, mustard and peanuts. Spice level: 1/5.",drink,4.12,EUR,,gluten;mustard;peanuts,,1,130,True
74,4,Charcuterie board,"Charcuterie board is a starter dish, made mainly with beef, potato, milk and tomato. Contains allergens: gluten, soy and tree nuts. Spice level: 1/5.",starter,7.64,EUR,beef;potato;milk;tomato,gluten;soy;tree nuts,,1,195,True
75,4,Garlic shrimp (traditional),"Garlic shrimp (traditional) is a small plate dish, made mainly with milk and potato. Suitable for the following diets: vegetarian and kosher. Contains allergens: peanuts and tree nuts. Spice level: 3/5.",small plate,9.07,EUR,milk;potato,peanuts;tree nuts,vegetarian;kosher,3,180,True
76,4,Charcuterie board (chef's special),"Charcuterie board (chef's special) is a starter dish, made mainly with white fish, onion, mushrooms, chicken, sugar and beef. Suitable for the following diets: halal. No declared allergens. Spice level: 1/5.",starter,11.19,EUR,white fish;onion;mushrooms;chicken;sugar;beef,,halal,1,213,True
77,5,Creamy seafood rice,"Creamy seafood rice is a main dish, made mainly with paprika, egg, garlic and parsley. Contains allergens: fish and gluten. Spice level: 2/5.",main,9.15,EUR,paprika;egg;garlic;parsley,fish;gluten,,2,761,True
78,5,Confit cod,"Confit cod is a main dish, made mainly with tomato, potato, seafood, onion, pork and bell pepper. Suitable for the following diets: vegetarian and gluten_free. No declared allergens.",main,3.7,EUR,tomato;potato;seafood;onion;pork;bell pepper,,vegetarian;gluten_free,0,712,True
79,5,Confit cod (house style),"Confit cod (house style) is a main dish, made mainly with cheese, almond and parsley. No declared allergens. Spice level: 5/5.",main,7.09,EUR,cheese;almond;parsley,,,5,764,True
80,5,Spanish-style omelette,"Spanish-style omelette is a small plate dish, made mainly with flour and onion. No declared allergens.",small plate,2.21,EUR,flour;onion,,,0,184,True
81,5,Charcuterie board,"Charcuterie board is a starter dish, made mainly with almond, seafood and chicken. No declared allergens.",starter,4.7,EUR,almond;seafood;chicken,,,0,286,False
82,5,Creamy seafood rice (traditional),"Creamy seafood rice (traditional) is a main dish, made mainly with parsley, cream, lemon and chicken. Contains allergens: shellfish, mustard and fish.",main,8.26,EUR,parsley;cream;lemon;chicken,shellfish;mustard;fish,,0,632,True
83,5,Cream mille-feuille,"Cream mille-feuille is a dessert dish, made mainly with white fish, olive oil, garlic and egg. Contains allergens: mustard. Spice level: 3/5.",dessert,4.5,EUR,white fish;olive oil;garlic;egg,mustard,,3,427,True
84,5,Soup of the day,"Soup of the day is a starter dish, made mainly with almond, mushrooms, chocolate and cream. No declared allergens. Spice level: 2/5.",starter,5.76,EUR,almond;mushrooms;chocolate;cream,,,2,252,True
85,5,Warm mixed salad,"Warm mixed salad is a starter dish, made mainly with egg, seafood, bell pepper, cheese and chocolate. Contains allergens: egg and soy. Spice level: 3/5.",starter,7.03,EUR,egg;seafood;bell pepper;cheese;chocolate,egg;soy,,3,324,True
86,5,Cream mille-feuille (traditional),"Cream mille-feuille (traditional) is a dessert dish, made mainly with sugar, egg, pork, almond and cream. No declared allergens. Spice level: 1/5.",dessert,6.09,EUR,sugar;egg;pork;almond;cream,,,1,315,True
87,5,Craft beer,"Craft beer is a drink dish, made mainly with basic amenities. Contains allergens: sesame and lupin.",drink,3.1,EUR,,sesame;lupin,,0,169,True
88,5,House wine (glass),"House wine (glass) is a drink dish, made mainly with basic amenities. Contains allergens: gluten and mustard.",drink,2.25,EUR,,gluten;mustard,,0,102,True
89,5,Grilled peppers,"Grilled peppers is a small plate dish, made mainly with bell pepper, onion and sugar. No declared allergens.",small plate,2.69,EUR,bell pepper;onion;sugar,,,0,239,True
90,5,Grilled peppers (traditional),"Grilled peppers (traditional) is a small plate dish, made mainly with cream, milk, chicken and potato. Contains allergens: mustard and molluscs. Spice level: 1/5.",small plate,2.91,EUR,cream;milk;chicken;potato,mustard;molluscs,,1,225,True
91,5,Oven-baked sea bass,"Oven-baked sea bass is a main dish, made mainly with mushrooms, rice, tomato, cream, chocolate and seafood. Suitable for the following diets: gluten_free. Contains allergens: sulphites, tree nuts and celery. Spice level: 3/5.",main,13.25,EUR,mushrooms;rice;tomato;cream;chocolate;seafood,sulphites;tree nuts;celery,gluten_free,3,696,True
92,5,Spicy fried potatoes,"Spicy fried potatoes is a small plate dish, made mainly with garlic, bell pepper, beef and sugar. No declared allergens. Spice level: 2/5.",small plate,2.2,EUR,garlic;bell pepper;beef;sugar,,,2,218,True
93,5,Creamy seafood rice (house style),"Creamy seafood rice (house style) is a main dish, made mainly with paprika, garlic, chocolate, white fish, onion and egg. Contains allergens: shellfish and celery. Spice level: 3/5.",main,7.39,EUR,paprika;garlic;chocolate;white fish;onion;egg,shellfish;celery,,3,646,True
94,5,Cheesecake,"Cheesecake is a dessert dish, made mainly with paprika, rice and beef. Contains allergens: lupin, fish and sulphites.",dessert,4.03,EUR,paprika;rice;beef,lupin;fish;sulphites,,0,491,True
95,6,Cola,"Cola is a drink dish, made mainly with basic amenities. No declared allergens. Spice level: 1/5.",drink,3.51,EUR,,,,1,106,True
96,6,Cream mille-feuille,"Cream mille-feuille is a dessert dish, made mainly with chicken, parsley, seafood, cream, flour and potato. No declared allergens. Spice level: 3/5.",dessert,5.59,EUR,chicken;parsley;seafood;cream;flour;potato,,,3,325,True
97,6,Seasonal fruit,"Seasonal fruit is a dessert dish, made mainly with pork, olive oil, chicken, almond and egg. No declared allergens. Spice level: 1/5.",dessert,4.48,EUR,pork;olive oil;chicken;almond;egg,,,1,448,True
98,6,Hummus with crudités,"Hummus with crudités is a starter dish, made mainly with chocolate, bell pepper, almond, cream and lemon. Suitable for the following diets: vegetarian and lactose_free. Contains allergens: gluten.",starter,9.49,EUR,chocolate;bell pepper;almond;cream;lemon,gluten,vegetarian;lactose_free,0,255,True
99,6,Garden risotto,"Garden risotto is a main dish, made mainly with cheese, beef, onion, cream and sugar. No declared allergens.",main,12.69,EUR,cheese;beef;onion;cream;sugar,,,0,582,True
100,6,Seasonal fruit (signature),"Seasonal fruit (signature) is a dessert dish, made mainly with bell pepper, lemon, mushrooms and tomato. Suitable for the following diets: vegan. No declared allergens. Spice level: 2/5.",dessert,5.6,EUR,bell pepper;lemon;mushrooms;tomato,,vegan,2,334,True
101,6,Warm mixed salad,"Warm mixed salad is a starter dish, made mainly with rice, seafood, mushrooms, almond, potato and chocolate. Contains allergens: peanuts. Spice level: 3/5.",starter,9.62,EUR,rice;seafood;mushrooms;almond;potato;chocolate,peanuts,,3,233,True
102,6,Spicy fried potatoes,"Spicy fried potatoes is a small plate dish, made mainly with almond and flour. Suitable for the following diets: vegan. Contains allergens: molluscs, tree nuts and gluten.",small plate,5.61,EUR,almond;flour,molluscs;tree nuts;gluten,vegan,0,205,True
103,6,Soup of the day,"Soup of the day is a starter dish, made mainly with bell pepper, sugar, beef, garlic and flour. No declared allergens.",starter,6.51,EUR,bell pepper;sugar;beef;garlic;flour,,,0,344,True
104,6,Hummus with crudités (signature),"Hummus with crudités (signature) is a starter dish, made mainly with rice, lemon, pork, white fish and egg. No declared allergens.",starter,8.35,EUR,rice;lemon;pork;white fish;egg,,,0,327,True
105,6,House burger,"House burger is a main dish, made mainly with beef, cream, pork, mushrooms, flour and chicken. Contains allergens: sulphites, milk and soy. Spice level: 1/5.",main,21.53,EUR,beef;cream;pork;mushrooms;flour;chicken,sulphites;milk;soy,,1,830,True
106,6,Cheesecake,"Cheesecake is a dessert dish, made mainly with cream, spinach, olive oil and parsley. Contains allergens: molluscs.",dessert,5.13,EUR,cream;spinach;olive oil;parsley,molluscs,,0,413,True
107,6,Garden risotto (signature),"Garden risotto (signature) is a main dish, made mainly with cream, flour, spinach, chicken, onion and almond. Contains allergens: sulphites and soy.",main,15.0,EUR,cream;flour;spinach;chicken;onion;almond,sulphites;soy,,0,719,True
108,6,Cheesecake (traditional),"Cheesecake (traditional) is a dessert dish, made mainly with mushrooms, cream, white fish, parsley and chicken. Contains allergens: celery, lupin and sulphites.",dessert,5.08,EUR,mushrooms;cream;white fish;parsley;chicken,celery;lupin;sulphites,,0,238,True
109,6,Artisan ice cream,"Artisan ice cream is a dessert dish, made mainly with sugar, olive oil, potato, rice, milk and almond. Contains allergens: tree nuts, fish and sesame.",dessert,6.17,EUR,sugar;olive oil;potato;rice;milk;almond,tree nuts;fish;sesame,,0,385,True
110,6,House burger (traditional),"House burger (traditional) is a main dish, made mainly with flour, white fish, lemon and seafood. Suitable for the following diets: vegetarian and halal. Contains allergens: fish. Spice level: 4/5.",main,22.33,EUR,flour;white fish;lemon;seafood,fish,vegetarian;halal,4,532,True
111,6,Confit cod,"Confit cod is a main dish, made mainly with potato, flour and chocolate. Suitable for the following diets: vegetarian. No declared allergens.",main,17.96,EUR,potato;flour;chocolate,,vegetarian,0,790,True
112,6,Hummus with crudités (chef's special),"Hummus with crudités (chef's special) is a starter dish, made mainly with lemon, potato, garlic, seafood and parsley. Contains allergens: soy. Spice level: 3/5.",starter,7.65,EUR,lemon;potato;garlic;seafood;parsley,soy,,3,266,True
113,6,Fresh juice,"Fresh juice is a drink dish, made mainly with basic amenities. No declared allergens.",drink,2.41,EUR,,,,0,86,True
114,6,Cheesecake (signature),"Cheesecake (signature) is a dessert dish, made mainly with potato, beef, spinach and olive oil. Contains allergens: soy, mustard and molluscs. Spice level: 4/5.",dessert,7.4,EUR,potato;beef;spinach;olive oil,soy;mustard;molluscs,,4,491,True
115,6,Artisan ice cream (house style),"Artisan ice cream (house style) is a dessert dish, made mainly with garlic, lemon and bell pepper. Contains allergens: lupin, gluten and soy.",dessert,7.29,EUR,garlic;lemon;bell pepper,lupin;gluten;soy,,0,508,True
116,6,Garden risotto (traditional),"Garden risotto (traditional) is a main dish, made mainly with mushrooms, cheese and almond. Contains allergens: soy, peanuts and celery.",main,13.36,EUR,mushrooms;cheese;almond,soy;peanuts;celery,,0,850,True
117,6,Oven-baked sea bass,"Oven-baked sea bass is a main dish, made mainly with egg, mushrooms and milk. Contains allergens: sesame and egg.",main,20.35,EUR,egg;mushrooms;milk,sesame;egg,,0,570,True
118,6,Beef carpaccio,"Beef carpaccio is a starter dish, made mainly with sugar, egg, rice and lemon. Contains allergens: milk. Spice level: 3/5.",starter,10.11,EUR,sugar;egg;rice;lemon,milk,,3,182,False
119,6,Beef carpaccio (signature),"Beef carpaccio (signature) is a starter dish, made mainly with olive oil, seafood, beef and flour. No declared allergens.",starter,8.9,EUR,olive oil;seafood;beef;flour,,,0,312,True
120,6,Grilled sirloin steak,"Grilled sirloin steak is a main dish, made mainly with parsley, onion, spinach and tomato. No declared allergens. Spice level: 5/5.",main,19.68,EUR,parsley;onion;spinach;tomato,,,5,645,True
121,6,Garden risotto,"Garden risotto is a main dish, made mainly with bell pepper, garlic and egg. Suitable for the following diets: kosher. No declared allergens. Spice level: 1/5.",main,11.4,EUR,bell pepper;garlic;egg,,kosher,1,521,True
122,6,Grilled peppers,"Grilled peppers is a small plate dish, made mainly with sugar, tomato, white fish, paprika, chocolate and potato. No declared allergens. Spice level: 4/5.",small plate,5.65,EUR,sugar;tomato;white fish;paprika;chocolate;potato,,,4,197,True
123,6,Cured ham,"Cured ham is a small plate dish, made mainly with garlic and rice. No declared allergens. Spice level: 1/5.",small plate,3.72,EUR,garlic;rice,,,1,237,True
124,6,Chicken curry,"Chicken curry is a main dish, made mainly with potato, parsley, sugar, tomato and pork. Contains allergens: egg and soy. Spice level: 2/5.",main,11.44,EUR,potato;parsley;sugar;tomato;pork,egg;soy,,2,530,True
125,7,Marinated anchovies,"Marinated anchovies is a small plate dish, made mainly with potato and white fish. No declared allergens. Spice level: 2/5.",small plate,7.73,EUR,potato;white fish,,,2,210,True
126,7,Cola,"Cola is a drink dish, made mainly with basic amenities. Contains allergens: sulphites.",drink,6.14,EUR,,sulphites,,0,191,True
127,7,Beef carpaccio,"Beef carpaccio is a starter dish, made mainly with chicken, rice, beef, potato and pork. Contains allergens: peanuts, egg and tree nuts.",starter,14.54,EUR,chicken;rice;beef;potato;pork,peanuts;egg;tree nuts,,0,259,True
128,7,Chocolate lava cake,"Chocolate lava cake is a dessert dish, made mainly with spinach and cheese. Contains allergens: sulphites. Spice level: 1/5.",dessert,6.59,EUR,spinach;cheese,sulphites,,1,345,True
129,7,Garlic shrimp,"Garlic shrimp is a small plate dish, made mainly with garlic, flour, almond and rice. Contains allergens: peanuts, gluten and egg. Spice level: 1/5.",small plate,6.87,EUR,garlic;flour;almond;rice,peanuts;gluten;egg,,1,145,True
130,7,Cream mille-feuille,"Cream mille-feuille is a dessert dish, made mainly with onion, white fish, chocolate, olive oil, parsley and seafood. Suitable for the following diets: lactose_free. No declared allergens.",dessert,9.35,EUR,onion;white fish;chocolate;olive oil;parsley;seafood,,lactose_free,0,351,True
