room_type_id,hotel_id,name,description,max_adults,max_children,bed_configuration,size_m2,bathroom_type,services,accessible,base_price_per_night,breakfast_included,cancellation_policy
45,13,single,"The single room at Aparthotel Central Park has an area of approximately 12 m2 and is furnished with one single bed, with room for up to 1 adults. Amenities include heating, hairdryer, iron, soundproofing, minibar, tv, terrace and coffee machine. The rate includes breakfast. The cancellation policy for this room is strict.",1,0,one single bed,12,shared,heating;hairdryer;iron;soundproofing;minibar;tv;terrace;coffee machine,False,56.38,True,strict
46,13,family,"The family room at Aparthotel Central Park has an area of approximately 32 m2 and is furnished with one double bed and a sofa bed, with room for up to 4 adults and 2 children.

Amenities include wifi, heating, safe, iron and desk. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",4,2,one double bed and a sofa bed,32,shared,wifi;heating;safe;iron;desk,False,132.76,False,non-refundable
47,14,junior suite,"The junior suite room at Inn Riverside has an area of approximately 38 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children.

Amenities include safe, soundproofing, hairdryer, coffee machine, iron, tv, heating and wifi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",2,2,one double bed and a sitting area,38,private,safe;soundproofing;hairdryer;coffee machine;iron;tv;heating;wifi,False,578.65,False,strict
48,14,double,"The double room at Inn Riverside has an area of approximately 22 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include air conditioning, wifi, tv, coffee machine, terrace and sea view. The rate includes breakfast. The cancellation policy for this room is non-refundable.",2,1,one double bed,22,private,air conditioning;wifi;tv;coffee machine;terrace;sea view,False,339.44,True,non-refundable
49,15,junior suite,"The junior suite room at Hotel Lighthouse has an area of approximately 40 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children. Amenities include minibar, balcony, hairdryer and safe. The rate includes breakfast. The cancellation policy for this room is flexible.",2,2,one double bed and a sitting area,40,private,minibar;balcony;hairdryer;safe,False,303.68,True,flexible
50,15,single,"The single room at Hotel Lighthouse has an area of approximately 18 m2 and is furnished with one single bed, with room for up to 1 adults.

Amenities include air conditioning, minibar, safe, wifi, hairdryer and coffee machine. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",1,0,one single bed,18,private,air conditioning;minibar;safe;wifi;hairdryer;coffee machine,False,102.88,False,non-refundable
51,15,family,"The family room at Hotel Lighthouse has an area of approximately 31 m2 and is furnished with one double bed and a sofa bed, with room for up to 4 adults and 2 children.

Amenities include jacuzzi, coffee machine, balcony and soundproofing. The rate includes breakfast. The cancellation policy for this room is non-refundable.",4,2,one double bed and a sofa bed,31,shared,jacuzzi;coffee machine;balcony;soundproofing,False,281.38,True,non-refundable
52,15,double,"The double room at Hotel Lighthouse has an area of approximately 17 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child. Amenities include heating, hairdryer, safe and iron. The rate includes breakfast. The cancellation policy for this room is moderate.",2,1,one double bed,17,private,heating;hairdryer;safe;iron,True,155.11,True,moderate
53,15,twin,"The twin room at Hotel Lighthouse has an area of approximately 20 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child. Amenities include hairdryer, desk, iron, safe, soundproofing, tv, balcony and city view. The rate includes breakfast. The cancellation policy for this room is flexible.",2,1,two single beds,20,private,hairdryer;desk;iron;safe;soundproofing;tv;balcony;city view,False,120.85,True,flexible
54,16,double,"The double room at Boutique Hotel Old Mill has an area of approximately 20 m2 and is furnished with one king-size bed, with room for up to 2 adults and 1 child.

Amenities include tv, iron, coffee machine, soundproofing, terrace and jacuzzi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",2,1,one king-size bed,20,private,tv;iron;coffee machine;soundproofing;terrace;jacuzzi,True,162.14,False,strict
55,16,triple,"The triple room at Boutique Hotel Old Mill has an area of approximately 26 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include heating, iron, hairdryer, tv, wifi and city view. The rate includes breakfast. The cancellation policy for this room is moderate.",3,1,one double bed and one single bed,26,private,heating;iron;hairdryer;tv;wifi;city view,False,182.73,True,moderate
56,16,family,"The family room at Boutique Hotel Old Mill has an area of approximately 30 m2 and is furnished with four single beds, with room for up to 4 adults and 2 children.

Amenities include safe, coffee machine, wifi, desk, tv, balcony and hairdryer. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",4,2,four single beds,30,private,safe;coffee machine;wifi;desk;tv;balcony;hairdryer,True,270.44,False,strict
57,17,double,"The double room at Boutique Hotel Golden Tower has an area of approximately 28 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child. Amenities include tv, iron, soundproofing and balcony. The rate includes breakfast. The cancellation policy for this room is flexible.",2,1,one double bed,28,private,tv;iron;soundproofing;balcony,False,29.22,True,flexible
58,17,triple,"The triple room at Boutique Hotel Golden Tower has an area of approximately 32 m2 and is furnished with three single beds, with room for up to 3 adults and 1 child.

Amenities include sea view, desk, air conditioning and iron. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",3,1,three single beds,32,private,sea view;desk;air conditioning;iron,True,50.45,False,moderate
59,17,twin,"The twin room at Boutique Hotel Golden Tower has an area of approximately 19 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child. Amenities include iron, wifi, soundproofing and air conditioning. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",2,1,two single beds,19,private,iron;wifi;soundproofing;air conditioning,False,36.82,False,strict
60,18,twin,"The twin room at Inn Lighthouse has an area of approximately 19 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child. Amenities include heating, jacuzzi, hairdryer, city view, sea view, iron, tv and coffee machine. The rate includes breakfast. The cancellation policy for this room is flexible.",2,1,two single beds,19,private,heating;jacuzzi;hairdryer;city view;sea view;iron;tv;coffee machine,False,159.3,True,flexible
61,18,double,"The double room at Inn Lighthouse has an area of approximately 32 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child. Amenities include jacuzzi, tv, minibar and coffee machine. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",2,1,one double bed,32,private,jacuzzi;tv;minibar;coffee machine,False,139.95,False,moderate
62,18,triple,"The triple room at Inn Lighthouse has an area of approximately 27 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include coffee machine, terrace, minibar, desk, safe, sea view, heating and balcony. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",3,1,one double bed and one single bed,27,private,coffee machine;terrace;minibar;desk;safe;sea view;heating;balcony,False,194.54,False,non-refundable
63,18,single,"The single room at Inn Lighthouse has an area of approximately 18 m2 and is furnished with one single bed, with room for up to 1 adults.

Amenities include balcony, hairdryer, heating, desk, city view, iron, sea view and minibar. The rate includes breakfast. The cancellation policy for this room is strict.",1,0,one single bed,18,private,balcony;hairdryer;heating;desk;city view;iron;sea view;minibar,True,109.08,True,strict
64,19,family,"The family room at Lodge Riverside has an area of approximately 38 m2 and is furnished with two double beds, with room for up to 4 adults and 2 children. Amenities include air conditioning, safe and iron. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",4,2,two double beds,38,private,air conditioning;safe;iron,False,119.64,False,moderate
65,19,twin,"The twin room at Lodge Riverside has an area of approximately 21 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child.

Amenities include desk, safe, sea view, wifi, balcony, city view, coffee machine and tv. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",2,1,two single beds,21,private,desk;safe;sea view;wifi;balcony;city view;coffee machine;tv,False,94.33,False,strict
66,19,double,"The double room at Lodge Riverside has an area of approximately 24 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child.

Amenities include sea view, minibar, jacuzzi, city view, air conditioning, soundproofing and wifi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",2,1,one double bed,24,private,sea view;minibar;jacuzzi;city view;air conditioning;soundproofing;wifi,False,76.56,False,moderate
67,19,triple,"The triple room at Lodge Riverside has an area of approximately 29 m2 and is furnished with one double bed and one single bed, with room for up to 3 adults and 1 child.

Amenities include air conditioning, minibar, iron, sea view, hairdryer, wifi and safe. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is non-refundable.",3,1,one double bed and one single bed,29,private,air conditioning;minibar;iron;sea view;hairdryer;wifi;safe,True,113.23,False,non-refundable
68,19,suite,"The suite room at Lodge Riverside has an area of approximately 49 m2 and is furnished with one king-size bed and a sofa bed, with room for up to 3 adults and 2 children.

Amenities include balcony, minibar, jacuzzi, heating, safe and iron. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",3,2,one king-size bed and a sofa bed,49,private,balcony;minibar;jacuzzi;heating;safe;iron,False,216.88,False,moderate
69,20,double,"The double room at Palace Four Winds has an area of approximately 18 m2 and is furnished with one king-size bed, with room for up to 2 adults and 1 child.

Amenities include soundproofing, sea view, tv, iron, terrace and hairdryer. The rate includes breakfast. The cancellation policy for this room is flexible.",2,1,one king-size bed,18,private,soundproofing;sea view;tv;iron;terrace;hairdryer,False,185.05,True,flexible
70,20,junior suite,"The junior suite room at Palace Four Winds has an area of approximately 31 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children. Amenities include heating, city view, balcony, iron, wifi and soundproofing. The rate includes breakfast. The cancellation policy for this room is moderate.",2,2,one double bed and a sitting area,31,private,heating;city view;balcony;iron;wifi;soundproofing,False,283.29,True,moderate
71,20,twin,"The twin room at Palace Four Winds has an area of approximately 29 m2 and is furnished with two single beds, with room for up to 2 adults and 1 child.

Amenities include hairdryer, soundproofing, minibar, heating, safe and sea view. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",2,1,two single beds,29,shared,hairdryer;soundproofing;minibar;heating;safe;sea view,False,172.56,False,flexible
72,21,suite,"The suite room at Hotel Sunset has an area of approximately 41 m2 and is furnished with one double bed and a separate lounge, with room for up to 3 adults and 2 children.

Amenities include minibar, soundproofing, tv, wifi, air conditioning and desk. The rate includes breakfast. The cancellation policy for this room is moderate.",3,2,one double bed and a separate lounge,41,private,minibar;soundproofing;tv;wifi;air conditioning;desk,False,161.87,True,moderate
73,21,junior suite,"The junior suite room at Hotel Sunset has an area of approximately 37 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children.

Amenities include safe, desk, tv, air conditioning, hairdryer and sea view. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is flexible.",2,2,one double bed and a sitting area,37,shared,safe;desk;tv;air conditioning;hairdryer;sea view,True,121.74,False,flexible
74,21,double,"The double room at Hotel Sunset has an area of approximately 25 m2 and is furnished with one double bed, with room for up to 2 adults and 1 child. Amenities include minibar, terrace, jacuzzi and wifi. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",2,1,one double bed,25,private,minibar;terrace;jacuzzi;wifi,True,68.45,False,moderate
75,21,single,"The single room at Hotel Sunset has an area of approximately 18 m2 and is furnished with one single bed, with room for up to 1 adults.

Amenities include minibar, city view, tv and balcony. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is moderate.",1,0,one single bed,18,private,minibar;city view;tv;balcony,False,60.7,False,moderate
76,21,family,"The family room at Hotel Sunset has an area of approximately 41 m2 and is furnished with one double bed and a sofa bed, with room for up to 4 adults and 2 children. Amenities include jacuzzi, iron, soundproofing, wifi, heating, safe and air conditioning. Breakfast is not included in the base rate, although it can be added. The cancellation policy for this room is strict.",4,2,one double bed and a sofa bed,41,private,jacuzzi;iron;soundproofing;wifi;heating;safe;air conditioning,False,145.92,False,strict
77,22,triple,"The triple room at Inn Mountain Rest has an area of approximately 23 m2 and is furnished with three single beds, with room for up to 3 adults and 1 child. Amenities include soundproofing, city view and coffee machine. The rate includes breakfast. The cancellation policy for this room is moderate.",3,1,three single beds,23,private,soundproofing;city view;coffee machine,False,344.8,True,moderate
78,22,junior suite,"The junior suite room at Inn Mountain Rest has an area of approximately 42 m2 and is furnished with one double bed and a sitting area, with room for up to 2 adults and 2 children. Amenities include wifi, jacuzzi and tv. The rate includes breakfast. The cancellation policy for this room is non-refundable.",2,2,one double bed and a sitting area,42,shared,wifi;jacuzzi;tv,True,577.48,True,non-refundable
