table_id,restaurant_id,table_number,capacity,location,accessible,status
178,15,13,4,terrace,False,reserved
179,15,14,6,terrace,False,available
180,15,15,6,private room,False,occupied
181,16,1,4,terrace,False,unavailable
182,16,2,4,bar,False,available
183,16,3,2,bar,False,unavailable
184,16,4,4,indoor,True,available
185,16,5,8,indoor,False,reserved
186,16,6,2,indoor,True,available
187,16,7,6,terrace,True,available
188,16,8,8,terrace,False,available
189,16,9,4,terrace,True,available
190,16,10,4,indoor,True,available
191,16,11,8,indoor,True,available
192,16,12,4,indoor,False,available
193,17,1,2,indoor,True,available
194,17,2,2,indoor,True,available
195,17,3,2,bar,True,available
196,17,4,6,indoor,True,available
197,17,5,4,bar,True,available
198,17,6,2,indoor,False,occupied
199,17,7,2,indoor,True,available
200,17,8,2,indoor,False,reserved
201,17,9,6,indoor,False,occupied
202,17,10,4,private room,False,available
203,17,11,2,indoor,True,available
204,17,12,4,terrace,True,available
205,17,13,2,private room,False,available
206,17,14,2,indoor,False,available
207,17,15,2,indoor,True,reserved
208,17,16,8,private room,True,reserved
209,18,1,2,terrace,False,reserved
210,18,2,4,indoor,False,available
211,18,3,4,indoor,True,available
212,18,4,10,private room,True,available
213,18,5,2,indoor,True,available
214,18,6,4,indoor,True,available
215,18,7,4,terrace,True,available
216,18,8,2,indoor,True,available
217,18,9,2,indoor,True,reserved
218,18,10,2,indoor,False,available
219,18,11,2,private room,True,available
220,18,12,2,indoor,False,occupied
221,18,13,2,terrace,True,reserved
222,18,14,4,indoor,False,available
223,18,15,4,bar,True,reserved
224,18,16,2,terrace,False,available
225,18,17,2,terrace,False,available
226,18,18,4,indoor,False,unavailable
227,19,1,2,terrace,True,available
228,19,2,4,indoor,False,occupied
229,19,3,8,private room,False,available
230,19,4,6,private room,True,available
231,19,5,8,indoor,True,available
232,19,6,4,indoor,True,available
233,19,7,6,terrace,False,available
234,19,8,4,bar,False,available
235,19,9,6,indoor,False,available
236,19,10,2,indoor,True,available
237,19,11,4,bar,False,available
238,19,12,6,indoor,True,available
239,19,13,6,terrace,True,available
240,19,14,2,indoor,True,occupied
241,19,15,8,indoor,False,available
242,19,16,2,bar,False,available
243,19,17,2,terrace,True,available
244,20,1,6,indoor,False,available
245,20,2,4,indoor,True,reserved
246,20,3,6,indoor,False,available
247,20,4,10,indoor,False,reserved
248,20,5,6,indoor,False,available
249,20,6,4,bar,False,available
250,20,7,6,indoor,True,available
251,20,8,6,terrace,True,available
252,20,9,6,indoor,False,available
253,20,10,2,indoor,False,available
254,20,11,4,terrace,False,available
255,21,1,2,indoor,True,available
256,21,2,2,indoor,True,occupied
257,21,3,10,indoor,False,reserved
258,21,4,6,terrace,True,available
259,21,5,6,terrace,False,available
260,21,6,2,indoor,True,available
261,21,7,2,private room,False,available
262,21,8,6,indoor,False,available
263,21,9,4,terrace,True,available
264,21,10,2,indoor,True,available
265,21,11,4,indoor,False,available
266,21,12,2,indoor,False,available
267,21,13,8,indoor,True,available
268,21,14,4,indoor,False,available
269,21,15,8,bar,True,available
270,21,16,2,indoor,False,available
271,21,17,4,indoor,False,occupied
272,21,18,8,terrace,True,available
273,22,1,4,terrace,True,available
274,22,2,2,bar,True,available
275,22,3,8,terrace,False,reserved
276,22,4,6,indoor,True,occupied
277,22,5,2,terrace,True,available
278,22,6,6,terrace,True,available
279,23,1,4,private room,True,available
280,23,2,10,indoor,True,available
281,23,3,4,terrace,True,reserved
282,23,4,2,bar,False,available
283,23,5,4,indoor,False,available
284,23,6,6,indoor,False,available
285,23,7,4,terrace,False,reserved
286,23,8,2,indoor,False,available
287,23,9,4,private room,False,available
288,23,10,2,bar,False,reserved
289,23,11,2,indoor,False,unavailable
290,23,12,8,indoor,False,available
291,23,13,2,private room,False,available
292,23,14,2,private room,True,reserved
293,23,15,4,indoor,False,occupied
294,23,16,2,indoor,True,available
295,23,17,4,bar,True,available
296,23,18,6,terrace,False,available
297,24,1,4,indoor,False,available
298,24,2,2,indoor,False,available
299,24,3,6,indoor,True,reserved
300,24,4,4,bar,False,reserved
301,24,5,8,indoor,False,available
302,24,6,2,private room,False,unavailable
303,24,7,2,indoor,False,available
304,24,8,2,terrace,False,reserved
305,24,9,6,indoor,True,available
306,24,10,6,indoor,False,available
307,24,11,2,indoor,True,available
308,24,12,6,indoor,True,available
309,24,13,2,terrace,False,available
310,24,14,4,terrace,True,available
311,24,15,10,terrace,False,reserved
312,24,16,2,indoor,False,available
313,24,17,4,indoor,True,available
314,24,18,6,terrace,False,reserved
315,24,19,2,indoor,False,available
316,24,20,6,indoor,False,available
317,25,1,4,bar,True,available
318,25,2,4,bar,True,reserved
319,25,3,8,bar,False,reserved
320,25,4,2,private room,False,reserved
321,25,5,4,private room,True,reserved
322,25,6,2,indoor,False,available
323,25,7,8,terrace,True,available
324,25,8,4,indoor,True,available
325,25,9,4,bar,True,occupied
326,26,1,4,private room,False,available
327,26,2,2,indoor,False,available
328,26,3,2,indoor,True,available
329,26,4,6,indoor,True,available
330,26,5,8,terrace,True,available
331,26,6,4,indoor,False,available
332,26,7,8,private room,True,available
333,27,1,6,private room,True,available
334,27,2,4,indoor,False,available
335,27,3,4,terrace,False,available
336,27,4,6,indoor,False,available
337,27,5,2,indoor,True,available
338,27,6,4,indoor,True,available
339,27,7,8,indoor,True,reserved
340,27,8,8,private room,False,available
341,27,9,2,indoor,False,available
342,27,10,6,indoor,True,available
343,27,11,2,indoor,False,available
344,27,12,2,terrace,True,occupied
345,27,13,4,indoor,True,available
346,27,14,8,private room,False,available
347,27,15,4,indoor,True,available
348,27,16,2,terrace,False,available
349,27,17,4,indoor,False,available
350,27,18,8,indoor,False,available
351,27,19,2,indoor,True,available
352,27,20,2,terrace,True,available
353,27,21,4,indoor,False,available
354,28,1,2,terrace,False,available
355,28,2,10,private room,False,reserved
356,28,3,2,indoor,True,available
357,28,4,8,indoor,False,available
358,28,5,4,indoor,True,reserved
359,28,6,2,indoor,False,available
360,28,7,2,private room,True,available
361,28,8,2,indoor,True,unavailable
362,28,9,10,terrace,True,reserved
363,28,10,2,bar,False,occupied
364,28,11,4,terrace,True,available
365,28,12,4,indoor,False,reserved
366,28,13,2,indoor,True,available
367,29,1,4,indoor,True,reserved
368,29,2,4,indoor,True,available
369,29,3,8,bar,False,reserved
370,29,4,2,terrace,False,available
371,29,5,4,terrace,False,available
372,29,6,4,terrace,True,available
373,29,7,4,indoor,True,available
374,30,1,2,indoor,True,unavailable
375,30,2,8,indoor,False,reserved
376,30,3,6,indoor,True,available
377,30,4,2,bar,True,reserved
378,30,5,6,indoor,True,occupied
379,30,6,4,indoor,True,available
380,30,7,6,bar,False,available
381,30,8,10,private room,True,unavailable
